size,run,sec_size,num_gates,process_time,initial_rss,final_rss
10,1,2,48,0.0,120721408,120745984
10,2,2,41,0.0,120786944,120786944
10,3,2,46,0.0,120786944,120786944
10,4,2,43,0.0,120786944,120786944
10,5,2,40,0.0,120786944,120786944
15,1,2,90,0.0,120942592,120942592
15,2,2,90,0.0,121073664,121073664
15,3,2,91,0.0,121081856,121081856
15,4,2,99,0.0,121081856,121081856
15,5,2,89,0.0,121081856,121081856
20,1,2,174,0.0,121274368,121274368
20,2,2,175,0.0,121511936,121511936
20,3,2,166,0.0,121516032,121516032
20,4,2,171,0.0,121524224,121524224
20,5,2,164,0.0,121524224,121524224
25,1,2,249,0.0,121634816,121634816
25,2,2,276,0.0,121933824,121933824
25,3,2,265,0.0,121933824,121933824
25,4,2,250,0.0,121933824,121933824
25,5,2,256,0.0,121933824,121933824
30,1,2,362,0.0,121978880,121978880
30,2,2,356,0.0,122216448,122216448
30,3,2,362,0.015625,122216448,122216448
30,4,2,366,0.0,122216448,122216448
30,5,2,371,0.0,122232832,122232832
35,1,3,453,0.0,122417152,122417152
35,2,3,462,0.0,122363904,122363904
35,3,3,447,0.0,122421248,122421248
35,4,3,440,0.0,122626048,122626048
35,5,3,459,0.0,122626048,122626048
40,1,3,574,0.0,122986496,122986496
40,2,3,587,0.015625,123179008,123179008
40,3,3,560,0.0,123179008,123179008
40,4,3,580,0.0,123179008,123179008
40,5,3,583,0.015625,123183104,123183104
45,1,3,707,0.015625,123056128,123121664
45,2,3,693,0.0,123219968,123219968
45,3,3,721,0.0,123748352,123748352
45,4,3,721,0.0,123990016,123990016
45,5,3,709,0.015625,123756544,123756544
50,1,3,856,0.015625,124391424,124391424
50,2,3,865,0.015625,124522496,124522496
50,3,3,864,0.0,124522496,124522496
50,4,3,864,0.015625,124522496,124522496
50,5,3,866,0.015625,124522496,124522496
55,1,3,1039,0.015625,123289600,123289600
55,2,3,1022,0.015625,123822080,123838464
55,3,3,1038,0.015625,124088320,124153856
55,4,3,1034,0.015625,124350464,124416000
55,5,3,1029,0.015625,123793408,123793408
60,1,3,1200,0.015625,124411904,124411904
60,2,3,1232,0.0,125083648,125083648
60,3,3,1209,0.015625,124469248,124469248
60,4,3,1237,0.0,124686336,124686336
60,5,3,1209,0.015625,125165568,125165568
65,1,3,1416,0.015625,124825600,124825600
65,2,3,1401,0.015625,125366272,125366272
65,3,3,1399,0.03125,125931520,125931520
65,4,3,1405,0.015625,125059072,125059072
65,5,3,1410,0.015625,125452288,125452288
70,1,3,1633,0.015625,126038016,126038016
70,2,3,1655,0.015625,125177856,125177856
70,3,3,1609,0.015625,125546496,125546496
70,4,3,1629,0.015625,125218816,125218816
70,5,3,1630,0.015625,125546496,125546496
75,1,3,1834,0.015625,125353984,125353984
75,2,3,1848,0.03125,125485056,125485056
75,3,3,1852,0.015625,125091840,125091840
75,4,3,1822,0.03125,125489152,125489152
75,5,3,1854,0.015625,125095936,125095936
80,1,3,2104,0.03125,125685760,125685760
80,2,3,2082,0.015625,123244544,123256832
80,3,3,2106,0.015625,125685760,125685760
80,4,3,2111,0.03125,125366272,125370368
80,5,3,2088,0.03125,126394368,126394368
85,1,3,2341,0.03125,126308352,126308352
85,2,3,2375,0.03125,126504960,126504960
85,3,3,2321,0.046875,126967808,126967808
85,4,3,2360,0.03125,125595648,125595648
85,5,3,2350,0.03125,126500864,126500864
90,1,3,2605,0.046875,127041536,127041536
90,2,3,2629,0.03125,127021056,127082496
90,3,3,2627,0.046875,126935040,126935040
90,4,3,2622,0.03125,127897600,127897600
90,5,3,2651,0.03125,127410176,127479808
95,1,3,2942,0.046875,126779392,126844928
95,2,3,2949,0.046875,126566400,126631936
95,3,3,2910,0.03125,127463424,127528960
95,4,3,2931,0.046875,127713280,127778816
95,5,3,2935,0.046875,128122880,128122880
100,1,3,3197,0.046875,127598592,127598592
100,2,3,3228,0.046875,127602688,127602688
100,3,3,3237,0.046875,127602688,127602688
100,4,3,3197,0.046875,127598592,127598592
100,5,3,3246,0.046875,127606784,127606784
