size,run,sec_size,num_gates,process_time,initial_rss,final_rss
37,2,3,490,0.0,122998784,122998784
37,3,3,474,0.015625,122998784,122998784
37,4,3,492,0.015625,122736640,122736640
37,5,3,475,0.015625,122933248,122933248
38,1,3,534,0.015625,123133952,123133952
38,2,3,515,0.015625,123269120,123269120
38,3,3,510,0.0,123670528,123670528
38,4,3,530,0.0,123674624,123674624
38,5,3,505,0.015625,121819136,121819136
39,1,3,555,0.0,122351616,122351616
39,2,3,550,0.015625,122613760,122613760
39,3,3,537,0.015625,123019264,123019264
39,4,3,532,0.015625,123273216,123273216
39,5,3,534,0.015625,123273216,123273216
40,1,3,571,0.015625,123277312,123277312
40,2,3,578,0.015625,122490880,122490880
40,3,3,572,0.015625,122896384,122896384
40,4,3,579,0.015625,123211776,123211776
40,5,3,556,0.0,123277312,123277312
41,1,3,593,0.015625,123277312,123277312
41,2,3,584,0.0,122462208,122462208
41,3,3,609,0.015625,122769408,122769408
41,4,3,594,0.015625,123031552,123031552
41,5,3,596,0.0,123031552,123031552
42,1,3,622,0.015625,123330560,123330560
42,2,3,633,0.015625,123555840,123555840
42,3,3,621,0.015625,123555840,123555840
42,4,3,628,0.015625,123555840,123555840
42,5,3,607,0.015625,123555840,123555840
43,1,3,647,0.015625,123555840,123555840
43,2,3,649,0.015625,123555840,123555840
43,3,3,636,0.015625,123293696,123293696
43,4,3,671,0.015625,122540032,122540032
43,5,3,646,0.015625,123105280,123105280
44,1,3,677,0.0,123498496,123498496
44,2,3,661,0.015625,123498496,123498496
44,3,3,675,0.015625,123432960,123432960
44,4,3,682,0.015625,123498496,123498496
44,5,3,683,0.015625,123498496,123498496
45,1,3,714,0.015625,123518976,123518976
45,2,3,707,0.0,123760640,123760640
45,3,3,710,0.015625,123760640,123760640
45,4,3,705,0.015625,123518976,123518976
45,5,3,734,0.015625,122712064,122712064
46,1,3,744,0.015625,122249216,122249216
46,2,3,745,0.015625,122781696,122781696
46,3,3,731,0.015625,123043840,123043840
46,4,3,750,0.0,123338752,123338752
46,5,3,743,0.015625,123310080,123310080
47,1,3,767,0.015625,123883520,123949056
47,2,3,761,0.015625,124018688,124084224
47,3,3,768,0.015625,124026880,124092416
47,4,3,759,0.015625,124092416,124092416
47,5,3,757,0.015625,124092416,124092416
48,1,3,809,0.015625,123043840,123043840
48,2,3,795,0.015625,123060224,123060224
48,3,3,803,0.015625,123408384,123408384
48,4,3,795,0.015625,124006400,124006400
48,5,3,801,0.015625,124006400,124006400
49,1,3,819,0.015625,122687488,122687488
49,2,3,834,0.015625,122818560,122818560
