size,run,sec_size,num_gates,process_time,initial_rss,final_rss
10,1,2,48,0.0,120627200,120651776
10,2,2,41,0.0,120651776,120651776
10,3,2,46,0.0,120651776,120651776
10,4,2,43,0.0,120651776,120651776
10,5,2,40,0.0,120651776,120651776
15,1,2,90,0.0,120782848,120782848
15,2,2,90,0.0,120913920,120913920
15,3,2,91,0.0,120913920,120913920
15,4,2,99,0.0,120930304,120930304
15,5,2,89,0.0,120942592,120942592
20,1,2,174,0.0,121163776,121163776
20,2,2,175,0.0,121532416,121532416
20,3,2,166,0.0,121561088,121561088
20,4,2,171,0.0,121569280,121569280
20,5,2,164,0.0,121569280,121569280
25,1,2,249,0.0,121663488,121663488
25,2,2,276,0.0,121913344,121913344
25,3,2,265,0.015625,122003456,122003456
25,4,2,250,0.0,122003456,122003456
25,5,2,256,0.015625,122032128,122032128
30,1,2,362,0.0,122105856,122105856
30,2,2,356,0.0,122339328,122339328
30,3,2,362,0.015625,122339328,122339328
30,4,2,366,0.0,122339328,122339328
30,5,2,371,0.0,122355712,122355712
35,1,3,453,0.0,122605568,122605568
35,2,3,462,0.0,122736640,122736640
35,3,3,447,0.0,122736640,122736640
35,4,3,440,0.0,122736640,122736640
35,5,3,459,0.0,122736640,122736640
40,1,3,574,0.015625,123076608,123076608
40,2,3,587,0.0,123375616,123375616
40,3,3,560,0.0,123375616,123375616
40,4,3,580,0.015625,123375616,123375616
40,5,3,583,0.0,123375616,123375616
45,1,3,707,0.015625,123240448,123305984
45,2,3,693,0.0,123412480,123412480
45,3,3,721,0.0,123940864,123940864
45,4,3,721,0.0,124174336,124174336
45,5,3,709,0.015625,123940864,123940864
50,1,3,856,0.015625,124551168,124551168
50,2,3,865,0.015625,124682240,124682240
50,3,3,864,0.0,124682240,124682240
50,4,3,864,0.0,124694528,124694528
50,5,3,866,0.015625,124694528,124694528
55,1,3,1039,0.015625,123682816,123682816
55,2,3,1022,0.015625,124112896,124178432
55,3,3,1038,0.015625,124768256,124833792
55,4,3,1034,0.015625,124772352,124837888
55,5,3,1029,0.0,124084224,124084224
60,1,3,1200,0.015625,124575744,124575744
60,2,3,1232,0.015625,125100032,125100032
60,3,3,1209,0.015625,124104704,124104704
60,4,3,1237,0.015625,124583936,124583936
60,5,3,1209,0.015625,125108224,125108224
65,1,3,1416,0.015625,124694528,124694528
65,2,3,1401,0.015625,124833792,124833792
65,3,3,1399,0.015625,125816832,125816832
65,4,3,1405,0.015625,124956672,124956672
65,5,3,1410,0.015625,125345792,125345792
70,1,3,1633,0.03125,126210048,126210048
70,2,3,1655,0.03125,125386752,125386752
70,3,3,1609,0.015625,125956096,125956096
70,4,3,1629,0.015625,125644800,125644800
70,5,3,1630,0.03125,126042112,126042112
75,1,3,1834,0.03125,125779968,125779968
75,2,3,1848,0.03125,125919232,125919232
75,3,3,1852,0.03125,125521920,125521920
75,4,3,1822,0.03125,125919232,125919232
75,5,3,1854,0.03125,125526016,125526016
80,1,3,2104,0.03125,126296064,126296064
80,2,3,2082,0.03125,125685760,125685760
80,3,3,2106,0.03125,126111744,126111744
80,4,3,2111,0.03125,125685760,125685760
80,5,3,2088,0.03125,126648320,126648320
85,1,3,2341,0.03125,125935616,125935616
85,2,3,2375,0.03125,125935616,125935616
85,3,3,2321,0.03125,126648320,126648320
85,4,3,2360,0.03125,125935616,125935616
85,5,3,2350,0.03125,125931520,125931520
90,1,3,2605,0.03125,126648320,126648320
90,2,3,2629,0.046875,126423040,126529536
90,3,3,2627,0.03125,126328832,126435328
90,4,3,2622,0.046875,126689280,126689280
90,5,3,2651,0.046875,127455232,127520768
95,1,3,2942,0.046875,126595072,126660608
95,2,3,2949,0.046875,126328832,126459904
95,3,3,2910,0.046875,126332928,126398464
95,4,3,2931,0.046875,126599168,126664704
95,5,3,2935,0.046875,126992384,126992384
100,1,3,3197,0.046875,126201856,126205952
100,2,3,3228,0.046875,126464000,126464000
100,3,3,3237,0.046875,126459904,126459904
100,4,3,3197,0.046875,126464000,126464000
100,5,3,3246,0.0625,126464000,126468096
