size,run,sec_size,num_gates,process_time,initial_rss,final_rss
678,1,5,101521,19.984375,124608512,143712256
678,1,6,101625,18.828125,129638400,144596992
678,2,5,101584,19.421875,130310144,144338944
678,2,6,101653,19.234375,130482176,144232448
678,3,5,101435,19.5625,130617344,144932864
678,3,6,101664,19.234375,130732032,144756736
678,4,5,101463,19.859375,125108224,144232448
678,4,6,101556,19.40625,130220032,144547840
678,5,5,101561,19.734375,131051520,145137664
678,5,6,101622,19.21875,131272704,144801792
678,6,5,101417,19.703125,131526656,144977920
678,6,6,101505,18.71875,132128768,144498688
678,7,5,101502,19.53125,124784640,143872000
678,7,6,101649,18.4375,130052096,144900096
678,8,5,101550,19.703125,130691072,144551936
678,8,6,101650,19.046875,131223552,144654336
678,9,5,101500,19.25,131182592,144789504
678,9,6,101490,18.46875,131657728,144601088
678,10,5,101534,19.671875,124796928,143929344
678,10,6,101495,19.03125,129863680,145022976
678,11,5,101374,18.875,130207744,145350656
678,11,6,101485,19.0625,130572288,144957440
678,12,5,101506,19.375,130707456,144691200
678,12,6,101541,18.859375,131530752,145055744
678,13,5,101540,20.015625,124735488,144183296
678,13,6,101586,18.75,129744896,144830464
678,14,5,101525,18.84375,130412544,144965632
678,14,6,101442,19.171875,130920448,144375808
678,15,5,101550,19.71875,131391488,144777216
678,15,6,101621,19.71875,132812800,144785408
678,16,5,101409,19.5625,124874752,144003072
678,16,6,101532,19.03125,129933312,144433152
678,17,5,101542,19.59375,130523136,144494592
678,17,6,101628,18.921875,131260416,144687104
678,18,5,101523,19.234375,131530752,144576512
678,18,6,101621,18.78125,131936256,144687104
678,19,5,101564,19.96875,124645376,144093184
678,19,6,101551,19.125,129671168,144498688
678,20,5,101598,19.78125,130125824,143884288
678,20,6,101558,19.15625,130600960,144003072
679,1,5,101735,18.890625,130953216,144953344
679,1,6,101970,17.953125,131149824,144752640
679,2,5,101774,18.953125,124657664,143749120
679,2,6,101847,18.0,129437696,144592896
679,3,5,101776,19.046875,130379776,144695296
679,3,6,101804,18.390625,130449408,144683008
679,4,5,101851,18.890625,130695168,144150528
679,4,6,101890,18.625,130965504,144789504
679,5,5,101786,19.125,124911616,144171008
679,5,6,101774,18.3125,130158592,144687104
679,6,5,101717,18.84375,130506752,145211392
679,6,6,101825,18.015625,130957312,144220160
679,7,5,101945,19.609375,131256320,144457728
679,7,6,101897,18.0,131158016,145018880
679,8,5,101847,19.28125,124862464,144072704
679,8,6,101906,18.53125,129855488,144261120
679,9,5,101821,19.109375,130555904,145092608
679,9,6,101838,18.515625,130801664,144941056
679,10,5,101813,18.46875,131825664,144609280
679,10,6,101838,18.484375,131510272,144654336
679,11,5,101802,18.609375,131796992,144998400
679,11,6,101937,18.359375,131424256,144867328
679,12,5,101838,19.3125,132165632,144969728
679,12,6,101927,18.0,131907584,144740352
679,13,5,101706,18.953125,131182592,144588800
679,13,6,101821,18.53125,132231168,144322560
679,14,5,101814,18.9375,130953216,144691200
679,14,6,101845,18.265625,131735552,144756736
679,15,5,101914,18.5625,131792896,145092608
679,15,6,101858,18.21875,131604480,144105472
679,16,5,101700,19.078125,131072000,145031168
679,16,6,101868,18.046875,131702784,144355328
679,17,5,101849,19.234375,131014656,144494592
679,17,6,101895,18.046875,131391488,145199104
679,18,5,101944,18.875,131776512,144465920
679,18,6,101820,18.125,132640768,144850944
679,19,5,101893,18.71875,131305472,144785408
679,19,6,101776,17.90625,131858432,144166912
679,20,5,101802,18.421875,132808704,145543168
679,20,6,101733,18.0625,132292608,144756736
680,1,5,102127,19.796875,133001216,146087936
680,1,6,102086,19.296875,133214208,146432000
680,2,5,102124,19.5625,132423680,146505728
680,2,6,102148,19.359375,132128768,146743296
680,3,5,102038,20.078125,132616192,145252352
680,3,6,102165,19.15625,132538368,146145280
680,4,5,102050,19.828125,132825088,145936384
680,4,6,102132,19.015625,133603328,145637376
680,5,5,102271,19.9375,131903488,145760256
680,5,6,102107,19.390625,132141056,145047552
680,6,5,102107,19.328125,131600384,146202624
680,6,6,102158,19.53125,131502080,146001920
680,7,5,102116,19.4375,131616768,146415616
680,7,6,102221,19.078125,131874816,146300928
680,8,5,102079,19.703125,131874816,146046976
680,8,6,102050,18.6875,132349952,145973248
680,9,5,102009,19.5625,132530176,145526784
680,9,6,102040,18.828125,132878336,146206720
680,10,5,101983,19.453125,132849664,146341888
680,10,6,102004,19.3125,132505600,145879040
680,11,5,102061,19.375,132046848,145813504
680,11,6,102088,18.796875,132526080,146030592
680,12,5,102058,19.5,131895296,145571840
680,12,6,102042,18.84375,132337664,145580032
680,13,5,102042,19.875,132067328,145678336
680,13,6,102069,19.078125,132579328,145821696
680,14,5,102057,19.546875,132112384,145408000
680,14,6,102035,19.234375,132005888,145637376
680,15,5,102022,19.9375,132042752,145465344
680,15,6,102052,19.03125,131592192,145645568
680,16,5,102093,19.46875,132296704,145891328
680,16,6,102130,19.15625,131473408,145682432
680,17,5,102129,19.390625,131182592,145272832
680,17,6,102034,19.03125,131391488,145833984
680,18,5,102135,19.890625,132481024,146276352
680,18,6,102155,18.90625,132816896,146456576
