size,run,sec_size,num_gates,process_time,initial_rss,final_rss
1200,1,6,284700,98.046875,133890048,187068416
1200,1,7,301955,101.546875,134107136,191537152
1200,1,8,360771,114.203125,133963776,199692288
1300,1,6,330011,123.171875,136855552,200527872
1300,1,7,346523,126.375,136925184,203157504
1300,1,8,411169,142.828125,137043968,212996096
1400,1,6,378573,151.953125,137924608,208670720
1400,1,7,393874,151.53125,138309632,211791872
1400,1,8,463862,173.25,138338304,221581312
1500,1,6,430158,184.90625,142036992,225742848
1500,1,7,444253,185.5625,151175168,227307520
1500,1,8,518654,207.625,153133056,238800896
1600,1,6,485440,224.71875,158625792,235585536
1600,1,7,497231,223.03125,154046464,238026752
1600,1,8,576521,248.109375,156258304,250101760
1700,1,6,543811,265.265625,164458496,252108800
1700,1,7,552892,259.625,161001472,253706240
1700,1,8,636754,291.296875,158908416,264081408
1800,1,6,605461,311.875,166735872,264728576
1800,1,7,611746,303.734375,161615872,265932800
1800,1,8,699176,307.234375,159920128,277282816
1900,1,6,670394,319.765625,166723584,279117824
1900,1,7,673354,299.921875,169193472,279597056
1900,1,8,764904,322.5,165347328,293421056
2000,1,6,738575,332.65625,169336832,291672064
2000,1,7,738025,312.03125,171413504,293490688
2000,1,8,832445,329.109375,168845312,306003968
