size,run,sec_size,num_gates,process_time,initial_rss,final_rss
300,1,4,23396,2.046875,121507840,125276160
300,1,5,22625,1.9375,124776448,125394944
300,1,6,24884,2.0,124411904,125730816
300,1,7,29515,2.15625,125009920,126345216
310,1,4,25007,2.109375,125165568,126025728
310,1,5,23937,1.96875,123461632,125820928
310,1,6,26300,2.078125,125165568,126271488
310,1,7,30979,2.5625,123924480,126722048
320,1,4,26469,2.453125,125898752,126644224
320,1,5,25372,2.296875,121819136,126464000
320,1,6,27695,2.46875,124608512,126771200
320,1,7,33035,2.6875,124956672,127676416
330,1,4,28093,2.5,126844928,127246336
330,1,5,26918,2.546875,125358080,126656512
330,1,6,29227,2.453125,124481536,127164416
330,1,7,34837,3.1875,125480960,127930368
340,1,4,29738,3.21875,124436480,127258624
340,1,5,28344,2.921875,124518400,126947328
340,1,6,30667,2.765625,121618432,126963712
340,1,7,36406,3.21875,124706816,128159744
350,1,4,31394,3.09375,124514304,127401984
350,1,5,29909,2.78125,124518400,127049728
350,1,6,32319,3.125,124260352,127500288
350,1,7,38382,3.625,125288448,128638976
360,1,4,33165,3.6875,125992960,128155648
360,1,5,31422,3.375,125456384,127737856
360,1,6,33745,3.390625,126099456,128454656
360,1,7,40428,3.890625,122068992,128864256
370,1,4,34955,3.71875,125853696,128487424
370,1,5,33053,3.40625,125485056,128233472
370,1,6,35510,3.421875,126361600,128684032
370,1,7,42264,4.234375,125366272,129626112
380,1,4,36953,4.359375,125673472,129048576
380,1,5,34756,3.765625,125534208,128520192
380,1,6,37246,3.9375,125595648,129187840
380,1,7,44176,4.8125,126312448,130150400
390,1,4,38775,4.46875,121921536,128753664
390,1,5,36441,3.9375,124313600,128385024
390,1,6,38916,3.953125,124522496,129048576
390,1,7,46046,4.703125,124755968,130281472
400,1,4,40724,4.9375,126406656,129490944
400,1,5,38102,4.5,125841408,129363968
400,1,6,40592,4.359375,125997056,129814528
400,1,7,48083,5.484375,126676992,131133440
410,1,4,42627,5.265625,127307776,131088384
410,1,5,39831,4.65625,122167296,129691648
410,1,6,42418,4.765625,124989440,130134016
410,1,7,49947,5.515625,125267968,131817472
420,1,4,44646,5.671875,125665280,130269184
420,1,5,41627,5.21875,126410752,130146304
420,1,6,44135,5.0625,126275584,130494464
420,1,7,52187,6.203125,126713856,131928064
430,1,4,46672,5.796875,127651840,131194880
430,1,5,43517,5.375,126443520,130760704
430,1,6,45924,5.40625,122339328,130531328
430,1,7,54176,5.9375,125894656,132182016
440,1,4,48878,6.03125,126541824,131801088
440,1,5,45392,6.015625,126771200,131149824
440,1,6,47755,6.0625,126595072,131928064
440,1,7,56256,6.75,126984192,132792320
450,1,4,50963,6.625,127709184,131895296
450,1,5,47326,5.9375,127815680,131436544
450,1,6,49443,6.03125,127238144,131956736
450,1,7,58469,6.84375,122589184,133181440
460,1,4,53315,7.0,127541248,132591616
460,1,5,49287,6.59375,127385600,131772416
460,1,6,51612,6.96875,127098880,132288512
460,1,7,60580,7.65625,127762432,133935104
470,1,4,55493,7.625,128319488,134033408
470,1,5,51281,7.171875,128364544,133238784
470,1,6,53574,7.015625,128335872,133623808
470,1,7,62969,8.015625,128290816,135188480
480,1,4,57872,8.03125,122699776,133668864
480,1,5,53265,7.09375,125992960,133242880
480,1,6,55563,7.875,126136320,133877760
480,1,7,65152,8.46875,126652416,134979584
