size,run,sec_size,num_gates,process_time,initial_rss,final_rss
5,1,2,15,0.0,120434688,120434688
5,1,3,14,0.0,120434688,120434688
5,1,4,15,0.0,120434688,120434688
5,1,5,15,0.0,120434688,120434688
5,1,6,15,0.0,120434688,120434688
6,1,2,19,0.0,120434688,120434688
6,1,3,19,0.0,120434688,120434688
6,1,4,20,0.0,120434688,120434688
6,1,5,20,0.0,120434688,120434688
6,1,6,20,0.0,120434688,120434688
7,1,2,18,0.0,120434688,120434688
7,1,3,16,0.0,120434688,120434688
7,1,4,16,0.0,120434688,120434688
7,1,5,16,0.0,120434688,120434688
7,1,6,19,0.0,120434688,120434688
8,1,2,27,0.0,120500224,120500224
8,1,3,29,0.0,120500224,120500224
8,1,4,31,0.0,120500224,120500224
8,1,5,32,0.0,120500224,120500224
8,1,6,33,0.0,120500224,120500224
9,1,2,38,0.0,120500224,120500224
9,1,3,37,0.0,120500224,120500224
9,1,4,37,0.0,120500224,120500224
9,1,5,37,0.0,120500224,120500224
9,1,6,37,0.0,120500224,120500224
10,1,2,47,0.015625,120500224,120500224
10,1,3,49,0.0,120500224,120500224
10,1,4,51,0.0,120500224,120500224
10,1,5,56,0.0,120500224,120500224
10,1,6,58,0.0,120500224,120500224
11,1,2,51,0.0,120500224,120500224
11,1,3,48,0.0,120500224,120500224
11,1,4,53,0.0,120500224,120500224
11,1,5,55,0.0,120500224,120500224
11,1,6,60,0.0,120500224,120500224
12,1,2,69,0.0,120500224,120500224
12,1,3,67,0.015625,120500224,120500224
12,1,4,71,0.0,120512512,120512512
12,1,5,72,0.0,120512512,120512512
12,1,6,72,0.0,120512512,120512512
13,1,2,72,0.0,120512512,120512512
13,1,3,70,0.0,120512512,120512512
13,1,4,73,0.0,120578048,120578048
13,1,5,72,0.0,120578048,120578048
13,1,6,78,0.0,120578048,120578048
14,1,2,82,0.0,120578048,120578048
14,1,3,83,0.0,120578048,120578048
14,1,4,89,0.0,120578048,120578048
14,1,5,92,0.0,120578048,120578048
14,1,6,95,0.0,120578048,120578048
15,1,2,90,0.0,120578048,120578048
15,1,3,84,0.0,120578048,120578048
15,1,4,90,0.0,120578048,120578048
15,1,5,88,0.0,120578048,120578048
15,1,6,95,0.0,120578048,120578048
16,1,2,108,0.0,120578048,120578048
16,1,3,104,0.015625,120578048,120578048
16,1,4,110,0.0,120578048,120578048
16,1,5,115,0.0,120578048,120578048
16,1,6,118,0.0,120578048,120578048
17,1,2,126,0.0,120578048,120578048
17,1,3,117,0.0,120578048,120578048
17,1,4,126,0.015625,120578048,120578048
17,1,5,137,0.0,120578048,120578048
17,1,6,141,0.0,120578048,120578048
18,1,2,131,0.0,120578048,120578048
18,1,3,131,0.0,120578048,120578048
18,1,4,128,0.015625,120578048,120578048
18,1,5,140,0.0,120578048,120578048
18,1,6,132,0.0,120578048,120578048
19,1,2,150,0.0,120578048,120578048
19,1,3,150,0.0,120578048,120578048
19,1,4,160,0.0,120578048,120578048
19,1,5,161,0.0,120578048,120578048
19,1,6,179,0.0,120365056,120430592
20,1,2,166,0.0,120430592,120430592
20,1,3,151,0.0,120430592,120430592
20,1,4,158,0.0,120430592,120430592
20,1,5,176,0.0,120430592,120430592
20,1,6,178,0.0,120430592,120430592
21,1,2,188,0.0,120430592,120430592
21,1,3,177,0.0,120430592,120430592
21,1,4,181,0.015625,120430592,120430592
21,1,5,199,0.0,120430592,120430592
21,1,6,202,0.0,120430592,120430592
22,1,2,206,0.0,120430592,120430592
22,1,3,194,0.015625,120430592,120430592
22,1,4,203,0.0,120430592,120430592
22,1,5,220,0.0,120430592,120430592
22,1,6,231,0.0,120430592,120430592
23,1,2,219,0.0,120430592,120430592
23,1,3,206,0.0,120430592,120430592
23,1,4,215,0.0,120430592,120430592
23,1,5,238,0.0,120430592,120430592
23,1,6,251,0.0,120430592,120430592
24,1,2,234,0.0,120430592,120430592
24,1,3,225,0.015625,120430592,120430592
24,1,4,232,0.0,120430592,120430592
24,1,5,235,0.0,120430592,120430592
24,1,6,253,0.0,120430592,120430592
25,1,2,233,0.0,120430592,120430592
25,1,3,234,0.0,120430592,120430592
25,1,4,248,0.0,120430592,120430592
25,1,5,265,0.0,120430592,120430592
25,1,6,269,0.0,120430592,120430592
26,1,2,256,0.0,120430592,120430592
26,1,3,247,0.0,120430592,120430592
26,1,4,249,0.0,120430592,120430592
26,1,5,271,0.0,120430592,120430592
26,1,6,305,0.015625,120430592,120430592
27,1,2,285,0.0,120430592,120430592
27,1,3,278,0.0,120414208,120479744
27,1,4,289,0.015625,120479744,120479744
27,1,5,291,0.0,120479744,120479744
27,1,6,322,0.0,120479744,120479744
28,1,2,331,0.0,120479744,120479744
28,1,3,298,0.0,120479744,120479744
28,1,4,314,0.0,120479744,120479744
28,1,5,339,0.015625,120479744,120479744
28,1,6,354,0.0,120479744,120479744
29,1,2,328,0.015625,120479744,120479744
29,1,3,307,0.0,120479744,120479744
29,1,4,326,0.0,120479744,120479744
