size,run,sec_size,num_gates,process_time,initial_rss,final_rss
1975,1,6,721404,397.765625,156295168,288477184
1975,1,7,721305,390.8125,155709440,290062336
1976,1,6,721989,418.28125,156798976,289058816
1976,1,7,722041,405.078125,155930624,290017280
1977,1,6,722860,401.265625,156913664,289316864
1977,1,7,722778,391.53125,157163520,290279424
1978,1,6,723297,418.0625,155930624,289918976
1978,1,7,723209,407.203125,155697152,288735232
1979,1,6,724017,402.609375,155918336,288436224
1979,1,7,724075,390.15625,156827648,291581952
1980,1,6,724825,413.125,173281280,289603584
1980,1,7,724692,406.625,171859968,290172928
1981,1,6,725493,396.265625,173592576,291827712
1981,1,7,725107,387.375,170586112,291131392
1982,1,6,726045,411.828125,171601920,291786752
1982,1,7,726167,405.1875,170418176,291688448
1983,1,6,726797,399.625,171913216,288722944
1983,1,7,726623,389.296875,172343296,290979840
1984,1,6,727486,405.46875,171393024,290164736
1984,1,7,727514,400.6875,170287104,289660928
1985,1,6,728364,240.3125,171032576,289570816
1985,1,7,727906,228.828125,172957696,291643392
