size,run,sec_size,num_gates,process_time,initial_rss,final_rss
670,1,5,99309,19.765625,125091840,143773696
670,1,6,99559,19.25,129880064,144187392
671,1,5,99560,19.484375,124665856,143781888
671,1,6,99806,18.984375,129667072,144277504
672,1,5,99851,20.203125,124633088,143450112
672,1,6,99956,19.1875,129445888,143998976
673,1,5,100090,19.828125,124940288,143761408
673,1,6,100341,18.765625,129687552,144158720
674,1,5,100380,19.84375,124850176,143773696
674,1,6,100535,19.59375,129601536,144470016
675,1,5,100720,19.828125,124719104,143626240
675,1,6,100730,19.140625,129609728,144883712
676,1,5,100895,20.09375,124530688,143499264
676,1,6,101018,20.09375,129261568,144539648
677,1,5,101211,19.609375,124735488,144207872
677,1,6,101365,18.984375,129564672,144543744
678,1,5,101543,20.34375,124858368,144314368
678,1,6,101488,19.671875,129851392,143847424
679,1,5,101741,19.8125,125014016,144171008
679,1,6,101939,19.625,130224128,144756736
680,1,5,102004,21.09375,131162112,146518016
680,1,6,102123,20.90625,131256320,146182144
681,1,5,102287,20.640625,130740224,146141184
681,1,6,102324,20.09375,131379200,146403328
682,1,5,102545,21.640625,130879488,145948672
682,1,6,102571,20.703125,131158016,146636800
683,1,5,102807,21.109375,130838528,146378752
683,1,6,102936,19.953125,131457024,146595840
684,1,5,103328,21.734375,130732032,146161664
684,1,6,103223,20.859375,130895872,146386944
685,1,5,103528,21.140625,130682880,146264064
685,1,6,103458,20.078125,130985984,146313216
686,1,5,103807,22.234375,131145728,146644992
686,1,6,103748,20.421875,131289088,146513920
687,1,5,104024,21.609375,131239936,146616320
687,1,6,103968,20.046875,131940352,146747392
688,1,5,104281,21.875,130904064,146599936
688,1,6,104242,20.34375,132763648,146538496
689,1,5,104579,21.765625,130416640,146247680
689,1,6,104468,20.21875,130678784,146001920
690,1,5,104880,12.453125,131620864,146837504
690,1,6,104799,11.140625,131297280,146481152
