size,run,sec_size,num_gates,process_time,initial_rss,final_rss
679,1,5,101757,20.0625,124944384,144203776
679,1,6,101836,20.265625,130252800,144814080
679,2,5,101881,20.203125,130547712,145317888
679,2,6,101917,18.9375,130850816,144838656
679,3,5,101784,19.046875,131067904,145018880
679,3,6,101774,19.140625,131235840,144871424
679,4,5,101660,19.84375,124936192,144027648
679,4,6,101845,20.265625,130031616,145010688
679,5,5,101861,20.140625,130691072,145154048
679,5,6,101844,18.9375,130277376,145477632
679,6,5,101768,19.140625,130899968,145055744
679,6,6,101768,18.578125,131522560,145145856
679,7,5,101738,19.84375,124813312,143962112
679,7,6,101817,20.453125,129912832,144781312
679,8,5,101749,20.09375,130387968,144543744
679,8,6,101762,18.921875,130772992,144605184
679,9,5,101726,19.453125,130916352,144773120
679,9,6,101863,19.125,131256320,144855040
679,10,5,101895,20.28125,124526592,144056320
679,10,6,101904,20.515625,129294336,144388096
679,11,5,101837,20.0625,130338816,144039936
679,11,6,101969,18.796875,130994176,145113088
679,12,5,101742,19.234375,130650112,144486400
679,12,6,101802,18.859375,130867200,144945152
679,13,5,101845,20.0,124649472,144076800
679,13,6,101938,20.375,129478656,144330752
679,14,5,101639,19.84375,130293760,144486400
679,14,6,101917,19.046875,130052096,144429056
679,15,5,101729,19.484375,130539520,144793600
679,15,6,101880,19.125,131059712,144584704
679,16,5,101772,19.671875,124858368,143958016
679,16,6,101846,20.046875,129429504,144498688
679,17,5,101798,19.859375,130502656,144617472
679,17,6,101878,18.859375,130383872,144896000
679,18,5,101841,19.40625,130789376,144994304
679,18,6,101845,18.734375,131411968,144543744
679,19,5,101772,19.734375,124796928,144314368
679,19,6,101927,20.03125,129527808,144539648
679,20,5,101777,20.125,130498560,144683008
679,20,6,101772,18.921875,130748416,145039360
680,1,5,102029,19.796875,131592192,145936384
680,1,6,102038,19.65625,132370432,145870848
680,2,5,102034,20.53125,125399040,145072128
680,2,6,102123,21.0625,130187264,145747968
680,3,5,102041,20.6875,130936832,146001920
680,3,6,102165,19.53125,131112960,145739776
680,4,5,102179,19.453125,131330048,145096704
680,4,6,102050,19.65625,131166208,145670144
680,5,5,102094,20.703125,125251584,145285120
680,5,6,102129,20.875,130134016,145518592
680,6,5,102047,21.046875,130772992,145354752
680,6,6,102081,19.46875,130928640,145436672
680,7,5,102239,19.65625,131203072,145547264
680,7,6,102230,19.71875,131485696,145457152
680,8,5,102161,20.34375,125739008,145952768
680,8,6,102149,21.0,130265088,146010112
680,9,5,101990,20.78125,130985984,145567744
680,9,6,102109,19.671875,130912256,145829888
680,10,5,102113,19.796875,132296704,146526208
680,10,6,102083,19.78125,131350528,145932288
680,11,5,101985,20.890625,132251648,146202624
680,11,6,102084,20.140625,133148672,146075648
680,12,5,101998,19.875,133001216,146563072
680,12,6,102168,20.703125,133509120,146178048
680,13,5,101974,21.171875,132227072,145887232
680,13,6,102092,20.375,132673536,146309120
680,14,5,102069,20.328125,131801088,146223104
680,14,6,102069,20.15625,131997696,145555456
680,15,5,102079,19.953125,132521984,145977344
680,15,6,102175,20.40625,132726784,145608704
680,16,5,102056,21.15625,132198400,145784832
680,16,6,102091,20.421875,132792320,145772544
680,17,5,102085,20.375,132386816,145100800
680,17,6,102127,19.890625,131670016,145907712
680,18,5,102128,19.71875,131960832,145596416
680,18,6,102023,20.484375,132354048,145444864
680,19,5,102049,20.9375,131981312,145731584
680,19,6,102050,20.1875,132665344,145575936
680,20,5,102099,20.71875,131915776,146309120
680,20,6,102175,20.171875,132415488,146272256
681,1,5,102325,19.375,132702208,145805312
681,1,6,102315,19.90625,132550656,145801216
681,2,5,102381,20.28125,130584576,145731584
681,2,6,102392,20.0,130154496,145899520
681,3,5,102392,20.078125,131805184,146460672
681,3,6,102365,19.65625,131960832,145772544
681,4,5,102368,19.3125,132227072,145772544
681,4,6,102422,19.53125,132497408,145641472
681,5,5,102286,20.765625,132517888,146055168
681,5,6,102362,20.0625,132493312,145133568
681,6,5,102380,19.765625,131768320,145973248
681,6,6,102308,19.46875,132284416,145522688
681,7,5,102468,19.453125,132448256,145596416
681,7,6,102450,20.015625,132550656,145743872
681,8,5,102254,20.484375,132190208,145457152
681,8,6,102341,20.09375,131883008,145747968
681,9,5,102373,20.0625,132345856,145248256
681,9,6,102443,19.578125,133185536,145616896
681,10,5,102355,19.140625,132313088,146034688
681,10,6,102344,20.171875,133074944,146472960
681,11,5,102428,20.390625,132067328,146292736
681,11,6,102354,19.921875,132780032,146477056
681,12,5,102347,19.90625,132395008,145784832
681,12,6,102487,19.453125,132759552,146284544
681,13,5,102354,19.3125,132247552,146178048
681,13,6,102243,20.515625,131776512,145846272
681,14,5,102429,20.28125,131334144,146210816
681,14,6,102377,19.765625,131215360,145637376
681,15,5,102265,19.859375,133050368,146640896
681,15,6,102356,19.5625,132268032,146137088
681,16,5,102350,19.4375,132456448,145944576
681,16,6,102515,20.625,132440064,146079744
681,17,5,102416,20.328125,131645440,146358272
681,17,6,102328,19.6875,132173824,145477632
681,18,5,102314,19.6875,131768320,145530880
681,18,6,102280,19.375,132485120,145076224
681,19,5,102273,19.4375,132227072,145874944
681,19,6,102257,20.4375,132255744,144662528
681,20,5,102342,20.09375,131444736,145530880
681,20,6,102466,19.65625,131948544,145502208
682,1,5,102672,20.625,131117056,144605184
682,1,6,102590,19.828125,131665920,145764352
682,2,5,102658,20.21875,131641344,145596416
682,2,6,102661,19.90625,131645440,145563648
682,3,5,102623,20.328125,132169728,146022400
682,3,6,102675,19.78125,132227072,145563648
682,4,5,102665,20.109375,132497408,145838080
682,4,6,102660,19.734375,132812800,145711104
