size,run,section_size,process_time,initial_rss,final_rss
2000,41,5,486.015625,51130368,217006080
2000,41,6,436.484375,50163712,205238272
2000,42,5,485.0,51896320,218779648
2000,42,6,438.453125,51081216,205242368
2000,43,5,486.109375,50319360,216956928
2000,43,6,437.578125,50286592,205307904
2000,44,5,486.90625,51322880,216346624
2000,44,6,436.78125,51757056,205205504
2000,45,5,486.734375,53116928,220631040
2000,45,6,435.671875,53452800,207269888
2000,46,5,481.1875,69873664,217784320
2000,46,6,434.234375,69312512,205107200
2000,47,5,485.640625,69021696,217518080
2000,47,6,435.640625,68902912,205119488
2000,48,5,485.984375,69009408,218542080
2000,48,6,434.15625,68448256,207507456
2000,49,5,483.890625,68194304,216866816
2000,49,6,435.25,68100096,205262848
2000,50,5,482.359375,70565888,219500544
2000,50,6,435.359375,68517888,205029376
2000,51,5,485.65625,68972544,218279936
2000,51,6,437.125,68857856,205176832
2000,52,5,486.359375,67846144,217710592
2000,52,6,434.8125,70066176,207478784
2000,53,5,483.78125,69599232,217624576
2000,53,6,436.921875,69791744,207441920
2000,54,5,485.328125,67715072,217010176
2000,54,6,436.8125,67452928,205320192
2000,55,5,486.8125,69242880,218406912
2000,55,6,435.984375,68743168,206147584
2000,56,5,483.015625,69951488,218169344
2000,56,6,432.1875,70692864,205434880
2000,57,5,472.71875,68268032,216887296
2000,57,6,434.265625,69812224,205242368
2000,58,5,473.703125,69812224,218218496
2000,58,6,422.59375,68329472,205819904
2000,59,5,451.484375,68034560,216895488
2000,59,6,423.03125,69296128,205799424
2000,60,5,451.453125,68050944,216809472
2000,60,6,404.78125,68640768,207654912
