size,run,section_size,process_time,initial_rss,final_rss
2000,61,5,482.828125,51466240,217415680
2000,61,6,433.96875,51118080,206311424
2000,62,5,481.203125,51130368,217784320
2000,62,6,433.296875,51105792,205172736
2000,63,5,484.265625,50245632,218451968
2000,63,6,435.578125,51138560,205254656
2000,64,5,480.78125,50364416,218492928
2000,64,6,433.359375,50294784,205369344
2000,65,5,484.46875,50442240,218271744
2000,65,6,433.625,51126272,206241792
2000,66,5,479.875,69513216,216915968
2000,66,6,433.328125,69267456,206176256
2000,67,5,481.09375,69251072,218173440
2000,67,6,432.25,68988928,205221888
2000,68,5,484.46875,68755456,218214400
2000,68,6,428.859375,68796416,204972032
2000,69,5,482.296875,68202496,218501120
2000,69,6,431.078125,67911680,206155776
2000,70,5,484.015625,67936256,216576000
2000,70,6,432.71875,68280320,204980224
2000,71,5,483.40625,69001216,216776704
2000,71,6,433.84375,68943872,206852096
2000,72,5,484.8125,70049792,217591808
2000,72,6,433.84375,67461120,206733312
2000,73,5,485.109375,69697536,216956928
2000,73,6,433.484375,67178496,206639104
2000,74,5,481.609375,69529600,218857472
2000,74,6,437.671875,67452928,205283328
2000,75,5,485.625,68206592,216907776
2000,75,6,435.859375,68247552,205774848
2000,76,5,478.203125,69820416,218198016
2000,76,6,430.953125,69582848,206721024
2000,77,5,472.5,69570560,216727552
2000,77,6,432.734375,67977216,206733312
2000,78,5,469.90625,69558272,218255360
2000,78,6,422.640625,67911680,205537280
2000,79,5,453.1875,68038656,217128960
2000,79,6,421.96875,68202496,206118912
2000,80,5,450.078125,69300224,217186304
2000,80,6,401.25,67706880,206696448
